Chain Designation,Pitch (p),Measuring Load (min N),Measuring Load (min N),Measuring Load (min N),Tensile Strength (min kN),Tensile Strength (min kN),Tensile Strength (min kN)
,,Single Strand,Double Strand,Triple Strand,Single Strand,Double Strand,Triple Strand
05B,8,50,100,150,4.1,7.8,11.1
06B,"9,525",70,140,210,8.1,16.9,24.1
08A,12.7,120,250,370,13.8,27.1,41.4
08B,12.7,120,250,370,17.8,31.1,44.5
81,12.7,125,,,8,,
83,12.7,125,,,11.6,,
84,12.7,125,,,15.6,,
85,12.7,125,,,16.7,,
10A,"15,875",200,390,590,21.8,43.6,65.4
10B,"15,875",200,390,590,22.2,44.5,66.7
12A,19.05,280,560,840,31.1,62.3,93.4
12B,19.05,280,560,840,28.9,67.8,86.7
16A,25.4,500,1000,1490,55.6,111.2,166.8
16B,25.4,500,1000,1490,60,106,160
20A,31.75,780,1560,2340,86.7,173.5,260.2
20B,31.75,780,1560,2340,95,170,250
24A,38.1,1110,2220,3340,124.6,249.1,373.7
24B,38.1,1110,2220,3304,160,280,425
28A,44.45,1510,3020,4540,169,338.1,507.1
28B,44.45,1510,3020,4540,200,360,530
32A,50.8,2000,4000,6010,222.4,444.8,667.2
32B,50.8,2000,4000,6010,250,450,670
36A,57.15,2670,5346,8010,280.2,500.5,840.4
40A,63.5,3110,6230,9340,347,693.9,1040.9
40B,63.6,3110,3230,9340,355,630,950
48A,76.2,4450,8900,13340,500.4,1000.8,1501.03
48B,76.2,4450,8900,13340,560,1000,1500
56B,88.9,6000,12190,,850,1600,2240
64B,101.6,7960,15920,,1120,2000,3000
72B,114.3,10100,20190,,1400,2500,3750
